Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/library/arts,18,0,8,11.62247222196634,7.120300000678981,30.460499998298474,61.0,0.303159768206479,0.0,9,9,13,16,21,30,30,30,30,30,30
GET,GET /api/library/copies,273,0,9,16.851716849687165,6.018699998094235,357.1805999999924,63.0,4.5979231511315986,0.0,9,11,13,14,25,33,46,320,360,360,360
GET,GET /api/library/copies (p2),121,0,9,14.467432231274058,6.7809999964083545,348.5962999984622,63.0,2.037907330721331,0.0,9,11,12,13,19,27,49,51,350,350,350
GET,GET /api/library/copies?channel=instagram,36,0,10,13.661305555514344,7.1576000009372365,53.84580000099959,63.0,0.606319536412958,0.0,11,13,15,15,24,39,54,54,54,54,54
GET,GET /api/library/copies?channel=linkedin,14,0,11,12.233921428300423,7.200299998658011,26.576799999020295,63.0,0.23579093082726144,0.0,11,13,16,16,16,27,27,27,27,27,27
GET,GET /api/library/posts,15,0,11,15.192339999824375,9.636499999032822,43.09110000031069,215.66666666666666,0.25263314017206584,0.0,11,12,14,17,34,43,43,43,43,43,43
GET,GET /api/pipeline/{id},184,0,7,9.32357717404201,5.508199999894714,59.75840000246535,239.0,3.0989665194440077,0.0,7,8,10,11,13,21,24,34,60,60,60
GET,GET /api/pipeline/{id} (poll),22,0,9,11.68985454519729,6.239400001504691,28.930299999046838,239.0,0.37052860558569656,0.0,9,11,12,14,24,24,29,29,29,29,29
GET,GET /api/settings/profiles,16,0,7,7.8415999998924235,5.400400001235539,12.83799999873736,15.0,0.26947534951687024,0.0,8,8,8,8,10,13,13,13,13,13,13
GET,GET /health,60,0,6,7.134445000216753,4.992599999241065,23.42079999652924,91.75,1.0105325606882634,0.0,6,7,7,8,9,11,18,23,23,23,23
POST,POST /api/pipeline/start,11,0,14,76.4851363631103,11.055899998609675,334.5602000008512,75.0,0.18526430279284828,0.0,14,27,63,63,320,330,330,330,330,330,330
,Aggregated,770,0,9,14.050432857090657,4.992599999241065,357.1805999999924,114.42727272727272,12.96850119549938,0.0,9,10,12,13,20,28,41,63,360,360,360
