Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/library/arts,9,0,8,8.906455555309853,7.3035999994317535,12.903499999083579,61.0,0.1591413187196436,0.0,8,8,10,10,13,13,13,13,13,13,13
GET,GET /api/library/copies,51,0,9,21.987327451272137,6.628800001635682,348.06420000313665,63.0,0.9018008060779804,0.0,9,9,10,10,13,17,320,350,350,350,350
GET,GET /api/library/copies (p2),23,0,9,10.227856521732578,7.604999998875428,21.129800003109267,63.0,0.4066944811724225,0.0,9,10,10,10,15,17,21,21,21,21,21
GET,GET /api/library/copies?channel=instagram,8,0,9,10.594725000373728,7.36490000053891,21.879800002352567,63.0,0.14145894997301653,0.0,9,10,10,10,22,22,22,22,22,22,22
GET,GET /api/library/copies?channel=linkedin,5,0,8.136000000376953,8.494440000504255,8.136000000376953,8.936800000810763,63.0,0.08841184373313533,0.0,8,9,9,9,9,9,9,9,9,9,9
GET,GET /api/library/posts,2,0,12,12.267999998584855,11.687499998515705,12.848499998654006,344.0,0.03536473749325413,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,GET /api/pipeline/{id},41,0,7,9.128239024348881,5.75580000077025,74.80460000078892,239.0,0.7249771186117097,0.0,7,8,8,8,10,11,75,75,75,75,75
GET,GET /api/pipeline/{id} (poll),1,0,7.877200001530582,7.877200001530582,7.877200001530582,7.877200001530582,239.0,0.017682368746627066,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,GET /api/settings/profiles,2,0,7.367700000031618,11.564249998627929,7.367700000031618,15.76079999722424,15.0,0.03536473749325413,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,GET /health,14,0,7,28.975185713924084,5.297100000461796,313.5376999998698,91.0,0.24755316245277892,0.0,7,7,7,11,12,310,310,310,310,310,310
POST,POST /api/pipeline/start,3,0,12,119.37450000065535,10.917399999016197,335.4832000004535,75.0,0.053047106239881195,0.0,12,12,340,340,340,340,340,340,340,340,340
,Aggregated,159,0,8,17.343132704460324,5.297100000461796,348.06420000313665,115.0,2.8114966307137035,0.0,8,9,10,10,13,17,310,340,350,350,350
