Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/library/arts,34,0,11,16.045697058978156,7.35030000214465,65.05489999835845,61.0,0.5726969211390335,0.0,12,13,14,16,35,64,65,65,65,65,65
GET,GET /api/library/copies,521,0,11,20.90399213055193,6.719500001054257,356.03439999977127,63.0,8.77573811510107,0.0,11,13,16,19,48,55,76,320,360,360,360
GET,GET /api/library/copies (p2),251,0,11,22.033319522026535,6.472900000517257,354.76899999775924,63.0,4.227850800173453,0.0,11,13,19,25,50,55,70,350,350,350,350
GET,GET /api/library/copies?channel=instagram,57,0,10,16.85159824582546,7.14210000296589,88.91600000060862,63.0,0.9601095442624973,0.0,10,13,15,21,47,52,53,89,89,89,89
GET,GET /api/library/copies?channel=linkedin,31,0,12,27.284912902917224,7.233600001200102,360.29989999951795,63.0,0.5221648398620599,0.0,12,15,17,18,40,57,360,360,360,360,360
GET,GET /api/library/posts,26,0,32,37.04743461569775,9.695400000055088,95.13050000168732,228.5,0.43794470440043737,0.0,34,43,57,58,91,95,95,95,95,95,95
GET,GET /api/pipeline/{id},379,0,9,14.033748021121317,5.3389999993669335,65.29439999940223,239.0,6.383886267990991,0.0,9,11,13,16,36,46,55,59,65,65,65
GET,GET /api/pipeline/{id} (poll),39,0,9,17.019930769702814,6.236900000658352,55.303000001003966,239.0,0.656917056600656,0.0,9,11,19,28,48,55,55,55,55,55,55
GET,GET /api/settings/profiles,18,0,8,13.779222222284362,5.940200000623008,40.604999998322455,15.0,0.30319248766184126,0.0,8,13,16,17,34,41,41,41,41,41,41
GET,GET /health,146,0,6,10.789310274098893,4.439000000274973,340.61690000089584,92.0,2.459227955479379,0.0,7,8,9,9,11,29,38,45,340,340,340
POST,POST /api/pipeline/start,25,0,19,67.62163600025815,10.045800001535099,329.8635000028298,75.0,0.42110067730811285,0.0,19,25,49,110,310,330,330,330,330,330,330
,Aggregated,1527,0,10,19.14399312384512,4.439000000274973,360.29989999951795,116.35494433529797,25.72082936997953,0.0,10,13,15,19,42,54,68,200,360,360,360
